Quarters,Value,Type,Job Vacancies (Thousands
2018 Q1,329341,Total domestic expenditure,815
2018 Q2,330032,Total domestic expenditure,834
2018 Q3,332783,Total domestic expenditure,856
2018 Q4,337822,Total domestic expenditure,857
2019 Q1,338444,Total domestic expenditure,840
2019 Q2,341289,Total domestic expenditure,817
2019 Q3,341346,Total domestic expenditure,811
2019 Q4,342302,Total domestic expenditure,818
2020 Q1,332766,Total domestic expenditure,635
2020 Q2,259259,Total domestic expenditure,374
2020 Q3,310582,Total domestic expenditure,525
2020 Q4,305816,Total domestic expenditure,615
2021 Q1,298575,Total domestic expenditure,685
2021 Q2,329862,Total domestic expenditure,960
2021 Q3,342102,Total domestic expenditure,1179
2021 Q4,348873,Total domestic expenditure,1260
2022 Q1,359459,Total domestic expenditure,1294
2022 Q2,369874,Total domestic expenditure,1273
2022 Q3,375952,Total domestic expenditure,1233
2018 Q1,26385,Food and drink,815
2018 Q2,26322,Food and drink,834
2018 Q3,26982,Food and drink,856
2018 Q4,27241,Food and drink,857
2019 Q1,27187,Food and drink,840
2019 Q2,27284,Food and drink,817
2019 Q3,27690,Food and drink,811
2019 Q4,28164,Food and drink,818
2020 Q1,29869,Food and drink,635
2020 Q2,30643,Food and drink,374
2020 Q3,29845,Food and drink,525
2020 Q4,29734,Food and drink,615
2021 Q1,30993,Food and drink,685
2021 Q2,30652,Food and drink,960
2021 Q3,30214,Food and drink,1179
2021 Q4,30783,Food and drink,1260
2022 Q1,30338,Food and drink,1294
2022 Q2,31182,Food and drink,1273
2022 Q3,32333,Food and drink,1233
2018 Q1,11328,"Alcohol, tobacco and narcotics",815
2018 Q2,11532,"Alcohol, tobacco and narcotics",834
2018 Q3,11786,"Alcohol, tobacco and narcotics",856
2018 Q4,11832,"Alcohol, tobacco and narcotics",857
2019 Q1,11796,"Alcohol, tobacco and narcotics",840
2019 Q2,11650,"Alcohol, tobacco and narcotics",817
2019 Q3,11804,"Alcohol, tobacco and narcotics",811
2019 Q4,11721,"Alcohol, tobacco and narcotics",818
2020 Q1,11982,"Alcohol, tobacco and narcotics",635
2020 Q2,13681,"Alcohol, tobacco and narcotics",374
2020 Q3,13556,"Alcohol, tobacco and narcotics",525
2020 Q4,13609,"Alcohol, tobacco and narcotics",615
2021 Q1,13482,"Alcohol, tobacco and narcotics",685
2021 Q2,13499,"Alcohol, tobacco and narcotics",960
2021 Q3,12794,"Alcohol, tobacco and narcotics",1179
2021 Q4,12662,"Alcohol, tobacco and narcotics",1260
2022 Q1,12322,"Alcohol, tobacco and narcotics",1294
2022 Q2,12794,"Alcohol, tobacco and narcotics",1273
2022 Q3,12516,"Alcohol, tobacco and narcotics",1233
2018 Q1,16756,Clothing and footwear,815
2018 Q2,16815,Clothing and footwear,834
2018 Q3,16915,Clothing and footwear,856
2018 Q4,16697,Clothing and footwear,857
2019 Q1,17347,Clothing and footwear,840
2019 Q2,17383,Clothing and footwear,817
2019 Q3,17601,Clothing and footwear,811
2019 Q4,17521,Clothing and footwear,818
2020 Q1,15481,Clothing and footwear,635
2020 Q2,11639,Clothing and footwear,374
2020 Q3,14415,Clothing and footwear,525
2020 Q4,14143,Clothing and footwear,615
2021 Q1,14184,Clothing and footwear,685
2021 Q2,16673,Clothing and footwear,960
2021 Q3,16729,Clothing and footwear,1179
2021 Q4,17146,Clothing and footwear,1260
